utt_id,singer_id,technique,group,text,hypothesis,wer,per,wer_sub,wer_del,wer_ins,wer_n_ref
EN-Alto-1__breathy__control__all_is_found__0009,EN-Alto-1,breathy,control,what the river knows,wet the river nas,0.5,0.25,2,0,0,4
EN-Alto-1__breathy__control__all_is_found__0010,EN-Alto-1,breathy,control,where the north wind meets the sea,where the north wand meets a seaa,0.42857142857142855,0.09523809523809523,3,0,0,7
EN-Alto-1__breathy__control__all_is_found__0011,EN-Alto-1,breathy,control,theres a mother full of memory,there's a mathe food o femery,0.6666666666666666,0.3684210526315789,4,0,0,6
EN-Alto-1__breathy__control__all_is_found__0012,EN-Alto-1,breathy,control,come my darling homeward bound when all is lost,come my darling homeward boon when odd is lost,0.2222222222222222,0.125,2,0,0,9
EN-Alto-1__breathy__control__all_is_found__0013,EN-Alto-1,breathy,control,then all is found,then all days fand,0.5,0.2727272727272727,2,0,0,4
EN-Alto-1__breathy__speech__all_is_found__0000,EN-Alto-1,breathy,speech,where the north wind meets the sea,where the north wind meets the sea,0.0,0.0,0,0,0,7
EN-Alto-1__breathy__speech__all_is_found__0001,EN-Alto-1,breathy,speech,theres a river full of memory sleep my darling safe and sound,there's the river full of memory sleep my darling save and sound,0.16666666666666666,0.04878048780487805,2,0,0,12
EN-Alto-1__breathy__speech__all_is_found__0002,EN-Alto-1,breathy,speech,for in this river all is found,for in this river all is found in her wars deep and true lie the answers and a pass for you dive down deep into her sound but not too far or you'll be drowned,4.0,4.0,0,0,28,7
EN-Alto-1__breathy__speech__all_is_found__0003,EN-Alto-1,breathy,speech,in her waters deep and true,yes she will sing to those who,1.1666666666666667,0.9444444444444444,6,0,1,6
EN-Alto-1__breathy__speech__all_is_found__0004,EN-Alto-1,breathy,speech,lay the answers and a path for you dive down deep into her sound,ll hear and in her soul o magic flows,0.9285714285714286,0.875,8,5,0,14
EN-Alto-1__breathy__speech__all_is_found__0005,EN-Alto-1,breathy,speech,but not too far or youll be drowned,but can you brave what you most fear can you face what the river knows,1.75,1.391304347826087,7,0,7,8
EN-Alto-1__breathy__speech__all_is_found__0006,EN-Alto-1,breathy,speech,yes she will sing to those who hear,where the north wind meets the sea,1.0,0.9523809523809523,7,1,0,8
EN-Alto-1__breathy__speech__all_is_found__0007,EN-Alto-1,breathy,speech,and in her song all magic flows,there's a mother full of memory,1.0,0.9523809523809523,6,1,0,7
EN-Alto-1__breathy__speech__all_is_found__0008,EN-Alto-1,breathy,speech,but can you brave what you most fear can you face,come my darling homeward bound,1.0,0.875,5,6,0,11
EN-Alto-1__breathy__speech__all_is_found__0009,EN-Alto-1,breathy,speech,what the river knows,when all is lost then all is,1.75,1.25,4,0,3,4
EN-Alto-1__breathy__speech__all_is_found__0010,EN-Alto-1,breathy,speech,where the north wind meets the sea,where the north wind meets the sea,0.0,0.0,0,0,0,7
EN-Alto-1__breathy__speech__all_is_found__0011,EN-Alto-1,breathy,speech,theres a mother full of memory,there is a mother full of memory,0.3333333333333333,0.05263157894736842,1,0,1,6
EN-Alto-1__breathy__speech__all_is_found__0012,EN-Alto-1,breathy,speech,come my darling homeward bound when all is lost,come my darling homeward bound when all is lost,0.0,0.0,0,0,0,9
EN-Alto-1__breathy__speech__all_is_found__0013,EN-Alto-1,breathy,speech,then all is found,then all is found,0.0,0.0,0,0,0,4
EN-Alto-1__breathy__technique__innocence__0000,EN-Alto-1,breathy,technique,waking up i see that everything is okay the first time in my life and now its so great,begging a bassy that everything is o k the first time in life a now its so great,0.42105263157894735,0.21818181818181817,5,2,1,19
EN-Alto-1__breathy__technique__innocence__0001,EN-Alto-1,breathy,technique,slowing down i look around and i am so amazed i think about the little things that make life great,sewing down i took a run an i'm a so maze i think about the little things that make life great,0.4,0.20967741935483872,7,0,1,20
EN-Alto-1__breathy__technique__innocence__0002,EN-Alto-1,breathy,technique,i wouldnt change a thing about it this is the best,i wouldan't change er thing about it this sas ter pars fal,0.5454545454545454,0.3939393939393939,5,0,1,11
EN-Alto-1__breathy__technique__innocence__0003,EN-Alto-1,breathy,technique,feeling this innocence is brilliant,the san e sent is freend,1.0,0.64,4,0,1,5
EN-Alto-1__breathy__technique__innocence__0004,EN-Alto-1,breathy,technique,i hope that it will stay this moment is perfect,i hoe that her was sat is fongant is fur feck,0.8,0.5,7,0,1,10
EN-Alto-1__breathy__technique__innocence__0005,EN-Alto-1,breathy,technique,please dont go away i need you now,play sung a away ha ne jun,0.875,0.6666666666666666,6,1,0,8
EN-Alto-1__breathy__technique__innocence__0006,EN-Alto-1,breathy,technique,and ill hold on to it dont you let it pass you by,now hrt on do let don dou let a passu b,0.8461538461538461,0.5151515151515151,9,2,0,13
EN-Alto-1__breathy__technique__innocence__0007,EN-Alto-1,breathy,technique,i found a place so safe not a single tear,ar found a place so safe nigt single ter,0.4,0.21428571428571427,3,1,0,10
EN-Alto-1__breathy__technique__innocence__0008,EN-Alto-1,breathy,technique,the first time in my life and now its so clear feel calm i belong im so happy here,the first time in life an that's all so clear fello com am beloine to my happy here,0.5263157894736842,0.3584905660377358,9,1,0,19
EN-Alto-1__breathy__technique__innocence__0009,EN-Alto-1,breathy,technique,its so strong and now i let myself be sincere i wouldnt change a thing about it,it's so stronge now let myself besin see i wouldunt change eh thing about it,0.4117647058823529,0.18181818181818182,5,2,0,17
EN-Alto-1__breathy__technique__innocence__0010,EN-Alto-1,breathy,technique,this is the best feeling,ther ses ta pass fat,1.0,0.8125,5,0,0,5
EN-Alto-1__breathy__technique__innocence__0011,EN-Alto-1,breathy,technique,this innocence is brilliant i hope that it will stay this moment,the same asense is free ant i heard that herer say this moment,0.75,0.38636363636363635,6,1,2,12
EN-Alto-1__breathy__technique__innocence__0012,EN-Alto-1,breathy,technique,is perfect please dont go away i need you now,ise fur feect please tone gon away hi ne jen,0.9,0.4482758620689655,7,1,1,10
EN-Alto-1__breathy__technique__innocence__0013,EN-Alto-1,breathy,technique,and ill hold on to it dont you let it pass you by,i hort a to it ton't you let it pass you by,0.38461538461538464,0.3333333333333333,4,1,0,13
EN-Alto-1__breathy__control__innocence__0000,EN-Alto-1,breathy,control,waking up i see that everything is okay the first time in my life and now its so great,waking up a see that everything is o k the first time alive and not is so great,0.42105263157894735,0.2,5,2,1,19
EN-Alto-1__breathy__control__innocence__0001,EN-Alto-1,breathy,control,slowing down i look around and i am so amazed i think about the little things that make life great,slowing down and look around and i'm so amazed i think about the little things that make life great,0.15,0.08064516129032258,2,1,0,20
EN-Alto-1__breathy__control__innocence__0002,EN-Alto-1,breathy,control,i wouldnt change a thing about it this is the best,i wouldn't change that thing the boutaid this is the best,0.2727272727272727,0.21212121212121213,3,0,0,11
EN-Alto-1__breathy__control__innocence__0003,EN-Alto-1,breathy,control,feeling this innocence is brilliant,f ln the sam sun is freen,1.2,0.64,4,0,2,5
EN-Alto-1__breathy__control__innocence__0004,EN-Alto-1,breathy,control,i hope that it will stay this moment is perfect,i hope that he was tad tis moment is furfeet,0.5,0.375,5,0,0,10
EN-Alto-1__breathy__control__innocence__0005,EN-Alto-1,breathy,control,please dont go away i need you now,ley son go away and ye cheer n,0.75,0.6666666666666666,6,0,0,8
EN-Alto-1__breathy__control__innocence__0006,EN-Alto-1,breathy,control,and ill hold on to it dont you let it pass you by,an i hot ont o lit dont you let a pass yor b,0.6923076923076923,0.42424242424242425,9,0,0,13
EN-Alto-1__breathy__control__innocence__0007,EN-Alto-1,breathy,control,i found a place so safe not a single tear,i found a place so safe not a single tear,0.0,0.0,0,0,0,10
EN-Alto-1__breathy__control__innocence__0008,EN-Alto-1,breathy,control,the first time in my life and now its so clear feel calm i belong im so happy here,the furst time alive an a lit so clear fell con my billo an masa happy here,0.6842105263157895,0.33962264150943394,11,2,0,19
EN-Alto-1__breathy__control__innocence__0009,EN-Alto-1,breathy,control,its so strong and now i let myself be sincere i wouldnt change a thing about it,it's so stronger now i mind myself piecing see i wouldn't change a ersing about it,0.35294117647058826,0.2545454545454545,5,1,0,17
EN-Alto-1__breathy__control__innocence__0010,EN-Alto-1,breathy,control,this is the best feeling,this sas the past fet,0.6,0.5625,3,0,0,5
EN-Alto-1__breathy__control__innocence__0011,EN-Alto-1,breathy,control,this innocence is brilliant i hope that it will stay this moment,the sen asents his fere ants i hope that all say this moment,0.75,0.38636363636363635,6,1,2,12
EN-Alto-1__breathy__control__innocence__0012,EN-Alto-1,breathy,control,is perfect please dont go away i need you now,is car feet pla stong can away aand her he cheer n,1.0,0.7931034482758621,8,0,2,10
EN-Alto-1__breathy__control__innocence__0013,EN-Alto-1,breathy,control,and ill hold on to it dont you let it pass you by,an i'll haw don toet don tu ther to pass yo by,0.7692307692307693,0.36363636363636365,9,1,0,13
EN-Alto-1__breathy__speech__innocence__0000,EN-Alto-1,breathy,speech,waking up i see that everything is okay the first time in my life and now its so great,waking up i see that everything is ouket the first time in my life and now it's so great,0.05263157894736842,0.05454545454545454,1,0,0,19
EN-Alto-1__breathy__speech__innocence__0001,EN-Alto-1,breathy,speech,slowing down i look around and i am so amazed i think about the little things that make life great,slowing down i look around and i'm so amazed i think about the little things that make life great,0.1,0.03225806451612903,1,1,0,20
EN-Alto-1__breathy__speech__innocence__0002,EN-Alto-1,breathy,speech,i wouldnt change a thing about it this is the best,i won't change a thing about it this is the best,0.09090909090909091,0.12121212121212122,1,0,0,11
EN-Alto-1__breathy__speech__innocence__0003,EN-Alto-1,breathy,speech,feeling this innocence is brilliant,fery this innocent is brilliant,0.4,0.2,2,0,0,5
EN-Alto-1__breathy__speech__innocence__0004,EN-Alto-1,breathy,speech,i hope that it will stay this moment is perfect,i hope that it will stay this moment is perfect,0.0,0.0,0,0,0,10
EN-Alto-1__breathy__speech__innocence__0005,EN-Alto-1,breathy,speech,please dont go away i need you now,please don't go away i need you now,0.0,0.0,0,0,0,8
EN-Alto-1__breathy__speech__innocence__0006,EN-Alto-1,breathy,speech,and ill hold on to it dont you let it pass you by,and i'll hold on to it don't you let it pass you by,0.0,0.0,0,0,0,13
EN-Alto-1__breathy__speech__innocence__0007,EN-Alto-1,breathy,speech,i found a place so safe not a single tear,i found a plac so safe not a single tear,0.1,0.10714285714285714,1,0,0,10
EN-Alto-1__breathy__speech__innocence__0008,EN-Alto-1,breathy,speech,the first time in my life and now its so clear feel calm i belong im so happy here,the first time in my life and now it's so clear feel calm i belong i'm so happy here,0.0,0.0,0,0,0,19
EN-Alto-1__breathy__speech__innocence__0009,EN-Alto-1,breathy,speech,its so strong and now i let myself be sincere i wouldnt change a thing about it,it's so strong and now i let myself be sincere i wouldn't change a thing about it,0.0,0.0,0,0,0,17
EN-Alto-1__breathy__speech__innocence__0010,EN-Alto-1,breathy,speech,this is the best feeling,this is the best of thelling,0.4,0.25,1,0,1,5
EN-Alto-1__breathy__speech__innocence__0011,EN-Alto-1,breathy,speech,this innocence is brilliant i hope that it will stay this moment,this innocence is brilliant i hope that it will stay this moment,0.0,0.0,0,0,0,12
EN-Alto-1__breathy__speech__innocence__0012,EN-Alto-1,breathy,speech,is perfect please dont go away i need you now,is perfect place don't go away cause i need you nout,0.3,0.20689655172413793,2,0,1,10
EN-Alto-1__breathy__speech__innocence__0013,EN-Alto-1,breathy,speech,and ill hold on to it dont you let it pass you by,and i'll hold on to it don't you let i pass you by,0.07692307692307693,0.06060606060606061,1,0,0,13
EN-Alto-1__breathy__technique__let_it_go__0000,EN-Alto-1,breathy,technique,the snow glows white on mountain tonight not a footprint to be seen,the snow grows wite on mountin aigh not a foopring to be seen,0.38461538461538464,0.25,5,0,0,13
EN-Alto-1__breathy__technique__let_it_go__0001,EN-Alto-1,breathy,technique,a kingdom of isolation and it looks like im the queen the wind is howling like swirling storm inside,the kingdom of isolation and it looks like i'm the queen the wingd is houting like a swirling storm insite,0.2631578947368421,0.08695652173913043,4,0,1,19
EN-Alto-1__breathy__technique__let_it_go__0002,EN-Alto-1,breathy,technique,couldnt keep it in heaven knows i tried dont let them in,colden cave ad an heaven knows i've tried dont tat damn in,0.5833333333333334,0.3076923076923077,7,0,0,12
EN-Alto-1__breathy__technique__let_it_go__0003,EN-Alto-1,breathy,technique,dont let them see be the good girl you always have to be conceal dont feel,don't lat damsee be the d good girl you always have to be consealed don't feel,0.3125,0.14285714285714285,3,1,1,16
EN-Alto-1__breathy__technique__let_it_go__0004,EN-Alto-1,breathy,technique,dont let them know well now they know,done lad dem no well now dey no,0.75,0.2857142857142857,6,0,0,8
EN-Alto-1__breathy__technique__let_it_go__0005,EN-Alto-1,breathy,technique,let it go let it go cant hurt back any more,let it go let it go can't hold it back han any more,0.2727272727272727,0.23333333333333334,1,0,2,11
EN-Alto-1__breathy__technique__let_it_go__0006,EN-Alto-1,breathy,technique,let it go let it go turn away and slam the door,let it go let it go turn away and stam o door,0.16666666666666666,0.09375,2,0,0,12
EN-Alto-1__breathy__control__let_it_go__0000,EN-Alto-1,breathy,control,the snow glows white on mountain tonight not a footprint to be seen,the snow glows wide on mountain nigh not a fa prain to be seen,0.3076923076923077,0.18181818181818182,3,0,1,13
EN-Alto-1__breathy__control__let_it_go__0001,EN-Alto-1,breathy,control,a kingdom of isolation and it looks like im the queen the wind is howling like swirling storm inside,a king of alie solation and it looks like i'm the queen the wind is howling like this whirling storm ing si,0.3684210526315789,0.17391304347826086,4,0,3,19
EN-Alto-1__breathy__control__let_it_go__0002,EN-Alto-1,breathy,control,couldnt keep it in heaven knows i tried dont let them in,couldn't carry it and heaven nos y try don't let ther men,0.5833333333333334,0.28205128205128205,7,0,0,12
EN-Alto-1__breathy__control__let_it_go__0003,EN-Alto-1,breathy,control,dont let them see be the good girl you always have to be conceal dont feel,don't let them see bet a good girl you lawways have to be conceiled dont fell,0.3125,0.12244897959183673,5,0,0,16
EN-Alto-1__breathy__control__let_it_go__0004,EN-Alto-1,breathy,control,dont let them know well now they know,don la them no well now they no,0.5,0.14285714285714285,4,0,0,8
EN-Alto-1__breathy__control__let_it_go__0005,EN-Alto-1,breathy,control,let it go let it go cant hurt back any more,ladigo laligo canolibag and ema,1.0,0.7333333333333333,5,6,0,11
EN-Alto-1__breathy__control__let_it_go__0006,EN-Alto-1,breathy,control,let it go let it go turn away and slam the door,lalica lalica turn awas an theta,0.9166666666666666,0.78125,5,6,0,12
EN-Alto-1__breathy__speech__let_it_go__0000,EN-Alto-1,breathy,speech,the snow glows white on mountain tonight not a footprint to be seen,the snow glows white on the mountain to night not a footprint to be seen,0.23076923076923078,0.06818181818181818,1,0,2,13
EN-Alto-1__breathy__speech__let_it_go__0001,EN-Alto-1,breathy,speech,a kingdom of isolation and it looks like im the queen the wind is howling like swirling storm inside,a kingdom of isolation and it looks like i'm na queen the wind is howling like the swarting stome inside,0.21052631578947367,0.13043478260869565,3,0,1,19
EN-Alto-1__breathy__speech__let_it_go__0002,EN-Alto-1,breathy,speech,couldnt keep it in heaven knows i tried dont let them in,couldn't give it in heaven's nose i tried don't let em in,0.3333333333333333,0.1282051282051282,4,0,0,12
EN-Alto-1__breathy__speech__let_it_go__0003,EN-Alto-1,breathy,speech,dont let them see be the good girl you always have to be conceal dont feel,don't let em see bet a good girl you always have to be conseil don't feel,0.25,0.061224489795918366,4,0,0,16
EN-Alto-1__breathy__speech__let_it_go__0004,EN-Alto-1,breathy,speech,dont let them know well now they know,don't let em know well now they know,0.125,0.047619047619047616,1,0,0,8
EN-Alto-1__breathy__speech__let_it_go__0005,EN-Alto-1,breathy,speech,let it go let it go cant hurt back any more,let it go let it go can't hurry back any more,0.09090909090909091,0.03333333333333333,1,0,0,11
EN-Alto-1__breathy__speech__let_it_go__0006,EN-Alto-1,breathy,speech,let it go let it go turn away and slam the door,let her go let her go turn away and slam the door,0.16666666666666666,0.125,2,0,0,12
EN-Alto-1__breathy__technique__once_up_a_dream__0000,EN-Alto-1,breathy,technique,i know you i walked with you once upon a dream,hhi no youle i walk wid you one suppo a dream,0.6363636363636364,0.25,7,0,0,11
EN-Alto-1__breathy__technique__once_up_a_dream__0001,EN-Alto-1,breathy,technique,i know you that look in your eyes is so familiar a gleam and i know,aar noow you tho lookin your ar se so furmidin acclim an i knoo,0.75,0.575,10,2,0,16
EN-Alto-1__breathy__technique__once_up_a_dream__0002,EN-Alto-1,breathy,technique,its true that visions are seldom all they seem,s true that visions are soudem all they see,0.3333333333333333,0.16666666666666666,3,0,0,9
EN-Alto-1__breathy__technique__once_up_a_dream__0003,EN-Alto-1,breathy,technique,but if i know you i know what youll do youll love me at once the way you did once upon a dream,but if i know you i know warchill too you'll law me hat wants nor wayyou dant want sop n the drean,0.6086956521739131,0.40350877192982454,13,1,0,23
EN-Alto-1__breathy__control__once_up_a_dream__0000,EN-Alto-1,breathy,control,i know you i walked with you once upon a dream,i know you i walk with you ane so po no dream,0.45454545454545453,0.21428571428571427,4,0,1,11
EN-Alto-1__breathy__control__once_up_a_dream__0001,EN-Alto-1,breathy,control,i know you that look in your eyes is so familiar a gleam and i know,i non you tha lookin your eyes sa so for maner glayman i now,0.625,0.375,8,2,0,16
EN-Alto-1__breathy__control__once_up_a_dream__0002,EN-Alto-1,breathy,control,its true that visions are seldom all they seem,is true that visions are souter mol they seem,0.3333333333333333,0.2,3,0,0,9
EN-Alto-1__breathy__control__once_up_a_dream__0003,EN-Alto-1,breathy,control,but if i know you i know what youll do youll love me at once the way you did once upon a dream,but if i know you i know what you too you la me at ance tha wad it was sappo a dreaam,0.5217391304347826,0.2982456140350877,11,1,0,23
EN-Alto-1__breathy__speech__once_up_a_dream__0000,EN-Alto-1,breathy,speech,i know you i walked with you once upon a dream,i know youll i walked with you once upon a dream,0.09090909090909091,0.03571428571428571,1,0,0,11
EN-Alto-1__breathy__speech__once_up_a_dream__0001,EN-Alto-1,breathy,speech,i know you that look in your eyes is so familiar a gleam and i know,i know you thare look in your eyes is so familiar a glame and i know,0.125,0.075,2,0,0,16
EN-Alto-1__breathy__speech__once_up_a_dream__0002,EN-Alto-1,breathy,speech,its true that visions are seldom all they seem,is true that visions are seldom all they sim,0.2222222222222222,0.1,2,0,0,9
EN-Alto-1__breathy__speech__once_up_a_dream__0003,EN-Alto-1,breathy,speech,but if i know you i know what youll do youll love me at once the way you did once upon a dream,but if i know you i know what you'll do you'll law me at once the way you did once upon a dream,0.043478260869565216,0.03508771929824561,1,0,0,23
EN-Alto-1__breathy__technique__safe_and_sound__0000,EN-Alto-1,breathy,technique,i remember tears streaming down your face when i said i will never let you go,i remember tears rimming down your face when i sad'll never like you go,0.3125,0.18,3,2,0,16
EN-Alto-1__breathy__technique__safe_and_sound__0001,EN-Alto-1,breathy,technique,when all those shadows almost killed your light i remember you said dont leave me here alone,when all those shadows almost kill julah hight i remember you set on leave me heare alone,0.35294117647058826,0.15517241379310345,6,0,0,17
EN-Alto-1__breathy__technique__safe_and_sound__0002,EN-Alto-1,breathy,technique,but all that dead and gone and passed tonight,behold that sadon go and passto n,0.7777777777777778,0.4482758620689655,5,2,0,9
EN-Alto-1__breathy__technique__safe_and_sound__0003,EN-Alto-1,breathy,technique,just close your eyes the sun is going down,just closer harris the sun has go hin down,0.6666666666666666,0.37037037037037035,4,1,1,9
EN-Alto-1__breathy__technique__safe_and_sound__0004,EN-Alto-1,breathy,technique,youll be all right no one can hurt you now,you'll be all right no one can hurt you now,0.0,0.0,0,0,0,10
EN-Alto-1__breathy__technique__safe_and_sound__0005,EN-Alto-1,breathy,technique,come morning light you and i will be safe,comornalite you an i'll be safe,0.6666666666666666,0.34615384615384615,3,3,0,9
EN-Alto-1__breathy__technique__safe_and_sound__0006,EN-Alto-1,breathy,technique,and sound dont you dare look,and sa  ha hohm don't yo dar loc,1.0,0.47368421052631576,4,0,2,6
EN-Alto-1__breathy__technique__safe_and_sound__0007,EN-Alto-1,breathy,technique,out your window darling everything is on fire the world outside our door keeps reading on,pouch a wing doll dodding everythings on fire the world outside our door kaps raging om,0.5625,0.2631578947368421,9,0,0,16
EN-Alto-1__breathy__technique__safe_and_sound__0008,EN-Alto-1,breathy,technique,hold on to this lullaby,ho don to dis l laa by,1.2,0.35294117647058826,4,0,2,5
EN-Alto-1__breathy__technique__safe_and_sound__0009,EN-Alto-1,breathy,technique,even when the musics gone,he wen wen ta mes ex go  h home,1.8,0.7894736842105263,5,0,4,5
EN-Alto-1__breathy__technique__safe_and_sound__0010,EN-Alto-1,breathy,technique,gone just close your eyes,gon just close o ice,0.6,0.3125,3,0,0,5
EN-Alto-1__breathy__technique__safe_and_sound__0011,EN-Alto-1,breathy,technique,the sun is going down youll be all right,the sun has goin down yoall be arihte,0.5555555555555556,0.4583333333333333,4,1,0,9
EN-Alto-1__breathy__technique__safe_and_sound__0012,EN-Alto-1,breathy,technique,no one can hurt you now come morning light,no i can hurt you now come moo name la hite,0.5555555555555556,0.3333333333333333,3,0,2,9
EN-Alto-1__breathy__technique__safe_and_sound__0013,EN-Alto-1,breathy,technique,you and i will be safe and sound,you can now be safe and saha h humd,0.75,0.7142857142857143,3,1,2,8
EN-Alto-1__breathy__control__safe_and_sound__0000,EN-Alto-1,breathy,control,i remember tears streaming down your face when i said i will never let you go,i remember tears rimming down your face when i sato never let you go,0.25,0.18,2,2,0,16
EN-Alto-1__breathy__control__safe_and_sound__0001,EN-Alto-1,breathy,control,when all those shadows almost killed your light i remember you said dont leave me here alone,when all the shadows almost killed july hight i remember you sat onleave me her alone,0.4117647058823529,0.25862068965517243,6,1,0,17
EN-Alto-1__breathy__control__safe_and_sound__0002,EN-Alto-1,breathy,control,but all that dead and gone and passed tonight,but all that's dead an gone and past na a,0.5555555555555556,0.27586206896551724,4,0,1,9
EN-Alto-1__breathy__control__safe_and_sound__0003,EN-Alto-1,breathy,control,just close your eyes the sun is going down,juse close your eyes the sun is gohin down,0.2222222222222222,0.1111111111111111,2,0,0,9
EN-Alto-1__breathy__control__safe_and_sound__0004,EN-Alto-1,breathy,control,youll be all right no one can hurt you now,yo be hoara hite no one can hurt you now,0.3,0.24,3,0,0,10
EN-Alto-1__breathy__control__safe_and_sound__0005,EN-Alto-1,breathy,control,come morning light you and i will be safe,come mnine lite you an now be safe,0.5555555555555556,0.38461538461538464,4,1,0,9
EN-Alto-1__breathy__control__safe_and_sound__0006,EN-Alto-1,breathy,control,and sound dont you dare look,and sa ha h hum domtur daluc,1.0,0.7368421052631579,5,0,1,6
EN-Alto-1__breathy__control__safe_and_sound__0007,EN-Alto-1,breathy,control,out your window darling everything is on fire the world outside our door keeps reading on,oucho wingdo dotting everything's on fire the world outside our door capes rasing om,0.5625,0.22807017543859648,7,2,0,16
EN-Alto-1__breathy__control__safe_and_sound__0008,EN-Alto-1,breathy,control,hold on to this lullaby,ho don to dis la la a by,1.4,0.29411764705882354,4,0,3,5
EN-Alto-1__breathy__control__safe_and_sound__0009,EN-Alto-1,breathy,control,even when the musics gone,ye wen when the musics go,0.6,0.2631578947368421,2,0,1,5
EN-Alto-1__breathy__control__safe_and_sound__0010,EN-Alto-1,breathy,control,gone just close your eyes,go jast close oice,0.8,0.5,3,1,0,5
EN-Alto-1__breathy__control__safe_and_sound__0011,EN-Alto-1,breathy,control,the sun is going down youll be all right,the sun has go hin down yo be horahite,0.6666666666666666,0.5,4,1,1,9
EN-Alto-1__breathy__control__safe_and_sound__0012,EN-Alto-1,breathy,control,no one can hurt you now come morning light,noone can hurrt you now come  nane the hite,0.6666666666666666,0.3333333333333333,4,1,1,9
EN-Alto-1__breathy__control__safe_and_sound__0013,EN-Alto-1,breathy,control,you and i will be safe and sound,her an ow be safe and sand,0.625,0.42857142857142855,4,1,0,8
